type,id,timestamp,duration_sec
coffee_made,1760718633.8548217
coffee_made,1760718634.0053988
coffee_made,1760718634.1569073
coffee_made,1760718768.144283
coffee_made,1760718768.2959707
coffee_made,1760718768.4679494
coffee_made,1760718768.6269002
coffee_made,1760718768.7944837
coffee_made,1760718768.9706945
coffee_made,1760718769.1426845
coffee_made,1760718769.2969215
coffee_made,14,1760719472.4321134,0
coffee_made,14,1760719472.5598466,0
coffee_made,14,1760719472.6835618,0
customer_exit,23,1760719485.7995994,0.69
coffee_made,23,1760719485.7995994,0.0
coffee_made,23,1760719485.919727,0
coffee_made,23,1760719486.0375767,0
coffee_made,23,1760719486.1465955,0
coffee_made,23,1760719486.2807086,0
coffee_made,23,1760719486.3966396,0
coffee_made,23,1760719486.514621,0
coffee_made,23,1760719486.6233861,0
coffee_made,23,1760719486.7812586,0
coffee_made,23,1760719486.892715,0
coffee_made,23,1760719486.99902,0
coffee_made,23,1760719487.1227722,0
coffee_made,23,1760719487.2214837,0
coffee_made,23,1760719487.3280156,0
coffee_made,23,1760719487.4418263,0
coffee_made,23,1760719487.5487657,0
coffee_made,23,1760719487.6659095,0
coffee_made,23,1760719487.7790182,0
coffee_made,23,1760719487.887449,0
coffee_made,23,1760719487.9982674,0
coffee_made,23,1760719488.1202905,0
coffee_made,23,1760719488.2273397,0
coffee_made,23,1760719488.3321128,0
coffee_made,23,1760719488.4442291,0
coffee_made,23,1760719488.556315,0
coffee_made,23,1760719488.6640198,0
coffee_made,23,1760719488.7769263,0
coffee_made,23,1760719488.8953846,0
coffee_made,23,1760719489.0002873,0
coffee_made,23,1760719489.1107228,0
coffee_made,23,1760719489.2194445,0
coffee_made,23,1760719489.3260827,0
coffee_made,23,1760719489.425612,0
coffee_made,23,1760719489.5304585,0
coffee_made,23,1760719489.6370056,0
coffee_made,23,1760719489.7505035,0
coffee_made,23,1760719489.8641949,0
coffee_made,23,1760719489.9762328,0
coffee_made,23,1760719490.088281,0
coffee_made,23,1760719490.1975183,0
coffee_made,23,1760719490.314465,0
coffee_made,23,1760719490.4198034,0
coffee_made,23,1760719490.5267808,0
coffee_made,23,1760719490.6396043,0
coffee_made,23,1760719490.7496994,0
coffee_made,23,1760719490.8546681,0
coffee_made,23,1760719490.9676523,0
coffee_made,23,1760719491.0791345,0
coffee_made,23,1760719491.1858125,0
coffee_made,23,1760719491.300801,0
coffee_made,23,1760719491.418499,0
coffee_made,23,1760719491.5363116,0
coffee_made,23,1760719491.6523101,0
coffee_made,35,1760719491.6523101,0
coffee_made,23,1760719491.759376,0
coffee_made,35,1760719491.759376,0
coffee_made,23,1760719491.8695447,0
coffee_made,35,1760719491.8695447,0
coffee_made,23,1760719491.972969,0
coffee_made,35,1760719491.972969,0
